route_id,service_id,trip_id,trip_headsign,block_id
111-125,JAN12-JANSA12-Saturday-12,20061383-JAN12-JANSA12-Saturday-12,"Baseline",2568066
111-125,JAN12-JANSA12-Saturday-12,20061384-JAN12-JANSA12-Saturday-12,"Baseline",2568261
111-125,JAN12-JANSA12-Saturday-12,20061385-JAN12-JANSA12-Saturday-12,"Baseline",2568097
111-125,JAN12-JANSA12-Saturday-12,20061386-JAN12-JANSA12-Saturday-12,"Baseline",2568210
111-125,JAN12-JANSA12-Saturday-12,20061387-JAN12-JANSA12-Saturday-12,"Carleton",2568210
111-125,JAN12-JANSA12-Saturday-12,20061388-JAN12-JANSA12-Saturday-12,"Carleton",2568314
111-125,JAN12-JANSA12-Saturday-12,20061389-JAN12-JANSA12-Saturday-12,"Carleton",2568210
111-125,JAN12-JANSA12-Saturday-12,20061390-JAN12-JANSA12-Saturday-12,"Baseline",2568130
111-125,JAN12-JANSA12-Saturday-12,20061391-JAN12-JANSA12-Saturday-12,"Baseline",2568310
111-125,JAN12-JANSA12-Saturday-12,20061392-JAN12-JANSA12-Saturday-12,"Carleton",2568130
111-125,JAN12-JANSA12-Saturday-12,20061393-JAN12-JANSA12-Saturday-12,"Carleton",2568310
111-125,JAN12-JANSA12-Saturday-12,20061394-JAN12-JANSA12-Saturday-12,"Baseline",2568261
111-125,JAN12-JANSA12-Saturday-12,20061395-JAN12-JANSA12-Saturday-12,"Baseline",2568261
156-125,JAN12-JANSA12-Saturday-12,20061396-JAN12-JANSA12-Saturday-12,"Baseline",2568120
116-125,JAN12-JANSA12-Saturday-12,20061397-JAN12-JANSA12-Saturday-12,"Greenboro",2568080
116-125,JAN12-JANSA12-Saturday-12,20061398-JAN12-JANSA12-Saturday-12,"Greenboro",2568080
116-125,JAN12-JANSA12-Saturday-12,20061399-JAN12-JANSA12-Saturday-12,"Greenboro",2568080
116-125,JAN12-JANSA12-Saturday-12,20061400-JAN12-JANSA12-Saturday-12,"Greenboro",2568080
116-125,JAN12-JANSA12-Saturday-12,20061401-JAN12-JANSA12-Saturday-12,"Merivale",2568080
