route_id,route_short_name,route_long_name,route_desc,route_type
193-135,193,Blair / Orleans,,3
193-136,193,Blair / Orleans,,3
194-135,194,Canotek - Blair,,3
194-136,194,Canotek - Blair,,3
199-135,199,ORLEANS / RCMP HQ,,3
199-136,199,ORLEANS / RCMP HQ,,3
201-135,201,Richmond/Bayshore/Carlingwood,,3
201-136,201,Richmond/Bayshore/Carlingwood,,3
202-135,202,Navan/Sarsfield/St.Laurent,,3
202-136,202,Navan/Sarsfield/St.Laurent,,3
203-135,203,Dunrobin/Carp/Carlingwood,,3
203-136,203,Dunrobin/Carp/Carlingwood,,3
204-135,204,Metcalfe/Greely/Billings Bridge,,3
204-136,204,Metcalfe/Greely/Billings Bridge,,3
205-135,205,North Gower/Manotic/Carlingwood,,3
205-136,205,North Gower/Manotic/Carlingwood,,3
221-135,221,Rural Express Downtown \ Cumberland,,3
221-136,221,Express Downtown \ Cumberland,,3
231-135,231,Rural Express --Sarsfield--Navan,,3
231-136,231,Express --Sarsfield--Navan,,3
232-135,232,Rural Express Vars -- Carlsbad,,3
232-136,232,Express Vars -- Carlsbad,,3
245-135,245,Rural Express--North gower--Manotick,,3
245-136,245,North gower--Manotick,,3
261-135,261,Express Stittsville -- West Ridge,,3
261-136,261,Express Stittsville -- West Ridge,,3
262-135,262,Express Stittsville -- Carp Rd.,,3
262-136,262,Express Stittsville -- Carp Rd.,,3
263-135,263,Express Stittsville --Stanley Cnr.,,3
263-136,263,Express Stittsville --Stanley Cnr.,,3
283-135,283,Rural Express Richmond,,3
283-136,283,Express Richmond,,3
601-135,601,Louis Riel,,3
602-135,602,De la Salle / Hurdman,,3
611-135,611,Gisele Lalonde High School \ Orleans Loc,,3
612-135,612,Gisele Lalonde High School \ Orleans Loc,,3
613-135,613,Downtown / Centre-ville,,3
618-135,618,Ecole Louis Riel \ Place D'Orleans,,3
619-135,619,Ecole Louis Riel \ Blair,,3
622-135,622,Colonel By HS \ Orleans,,3
632-135,632,Gisele Lalonde HS \ Orleans Loc,,3
633-135,633,LB Pearson HS \ St. Laurent,,3
640-135,640,Brookfield HS \ Greenboro,,3
641-135,641,Ecole Louis Riel \ Orleans,,3
648-135,648,Ecole Louis Riel \ Orleans,,3
661-135,661,Bell HS \ Kanata,,3
665-135,665,Bell HS \ Bridlewood,,3
669-135,669,Bell HS \ Bayshore,,3
670-135,670,St. Pius HS \ Merivale,,3
674-135,674,All Saints H.S. \ Kanata,,3
678-135,678,Louis-Riel / Orleans,,3
681-135,681,Bell HS \ Glen Cairn,,3
691-135,691,Deslauriers / Bayshore,,3
750-135,OTrn,Bayview -- Greenboro,,2
750-136,OTrn,Bayview -- Greenboro,,2
750-138,OTrn,Bayview -- Greenboro,,2
